familyID,system,dataset,replicate,carrierID,futureID,carrierCount,surfaceCount,canonicalSurfaceCount,registeredStateNonrecovery,sharedExactStateExists,fingerprintExactnessExists,registeredExactnessIdentityThresholdNumerator,registeredExactnessIdentityThresholdDenominator,registeredExactnessIdentityThreshold,exactnessMinimizers,sharedPairCountAtFirstExactness,exactnessCompressionMarginNumerator,exactnessCompressionMarginDenominator,exactnessCompressionMargin,familyMaximumSurplusNumerator,familyMaximumSurplusDenominator,familyMaximumSurplus,surplusPeakSurfaces,familyMinimumAmbiguityRatioNumerator,familyMinimumAmbiguityRatioDenominator,familyMinimumAmbiguityRatio
F034:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_RNA_3_12_21:fateBreadth,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_RNA_3_12_21,fateBreadth,206,30,26,True,False,False,,,undefinedInjective,,,,,undefinedInjective,6358144,274093815,0.0231969626896,IBIP20:r1:RNA:5:day12State,20629355,26987499,0.764404104285
F035:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:fineDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_ATAC_3_12_21,fineDay21Fate,27,30,26,False,False,True,1,1,1,IBIP20:r1:ATAC:2:orderedHistory;IBIP20:r1:ATAC:2:unorderedHistory;IBIP20:r1:ATAC:2:reversedHistory;IBIP20:r1:ATAC:4:orderedHistory;IBIP20:r1:ATAC:4:unorderedHistory;IBIP20:r1:ATAC:4:reversedHistory;IBIP20:r1:ATAC:5:day12State;IBIP20:r1:ATAC:5:orderedHistory;IBIP20:r1:ATAC:5:unorderedHistory;IBIP20:r1:ATAC:5:reversedHistory;IBIP20:r1:ATAC:5:transitionSignature,0,0,1,0,94,117585,0.000799421694944,IBIP20:r1:ATAC:1:day12State,6318,6365,0.992615868028
F036:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:sourceGroupedDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_ATAC_3_12_21,sourceGroupedDay21Fate,27,30,26,False,False,True,1,1,1,IBIP20:r1:ATAC:2:orderedHistory;IBIP20:r1:ATAC:2:unorderedHistory;IBIP20:r1:ATAC:2:reversedHistory;IBIP20:r1:ATAC:4:orderedHistory;IBIP20:r1:ATAC:4:unorderedHistory;IBIP20:r1:ATAC:4:reversedHistory;IBIP20:r1:ATAC:5:day12State;IBIP20:r1:ATAC:5:orderedHistory;IBIP20:r1:ATAC:5:unorderedHistory;IBIP20:r1:ATAC:5:reversedHistory;IBIP20:r1:ATAC:5:transitionSignature,0,0,1,0,10,5733,0.00174428745857,IBIP20:r1:ATAC:1:unorderedHistory,39,49,0.795918367347
F037:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:majorityDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_ATAC_3_12_21,majorityDay21Fate,27,30,26,False,True,True,350,351,0.997150997151,IBIP20:r1:ATAC:2:transitionSignature;IBIP20:r1:ATAC:4:transitionSignature;IBIP20:r1:ATAC:5:snapshotDay3,1,1,351,0.002849002849,569,80730,0.00704818530905,IBIP20:r1:ATAC:2:snapshotDay3,0,1,0
F038:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_ATAC_3_12_21:fateBreadth,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_ATAC_3_12_21,fateBreadth,27,30,26,False,True,True,349,351,0.994301994302,IBIP20:r1:ATAC:1:orderedHistory;IBIP20:r1:ATAC:1:reversedHistory,2,2,351,0.00569800569801,41,6210,0.00660225442834,IBIP20:r1:ATAC:1:transitionSignature,0,1,0
F039:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_MULTI_3_12_21:fineDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_MULTI_3_12_21,fineDay21Fate,17,30,28,False,False,True,1,1,1,IBIP20:r1:MULTI:1:snapshotDay3;IBIP20:r1:MULTI:1:orderedHistory;IBIP20:r1:MULTI:1:unorderedHistory;IBIP20:r1:MULTI:1:reversedHistory;IBIP20:r1:MULTI:2:snapshotDay3;IBIP20:r1:MULTI:2:orderedHistory;IBIP20:r1:MULTI:2:unorderedHistory;IBIP20:r1:MULTI:2:reversedHistory;IBIP20:r1:MULTI:2:transitionSignature;IBIP20:r1:MULTI:4:snapshotDay3;IBIP20:r1:MULTI:4:orderedHistory;IBIP20:r1:MULTI:4:unorderedHistory;IBIP20:r1:MULTI:4:reversedHistory;IBIP20:r1:MULTI:4:transitionSignature;IBIP20:r1:MULTI:5:snapshotDay3;IBIP20:r1:MULTI:5:day12State;IBIP20:r1:MULTI:5:orderedHistory;IBIP20:r1:MULTI:5:unorderedHistory;IBIP20:r1:MULTI:5:reversedHistory;IBIP20:r1:MULTI:5:transitionSignature,0,0,1,0,13,4488,0.00289661319073,IBIP20:r1:MULTI:1:day12State,680,693,0.981240981241
F040:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_MULTI_3_12_21:sourceGroupedDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_MULTI_3_12_21,sourceGroupedDay21Fate,17,30,28,False,False,True,1,1,1,IBIP20:r1:MULTI:1:snapshotDay3;IBIP20:r1:MULTI:1:orderedHistory;IBIP20:r1:MULTI:1:unorderedHistory;IBIP20:r1:MULTI:1:reversedHistory;IBIP20:r1:MULTI:2:snapshotDay3;IBIP20:r1:MULTI:2:orderedHistory;IBIP20:r1:MULTI:2:unorderedHistory;IBIP20:r1:MULTI:2:reversedHistory;IBIP20:r1:MULTI:2:transitionSignature;IBIP20:r1:MULTI:4:snapshotDay3;IBIP20:r1:MULTI:4:orderedHistory;IBIP20:r1:MULTI:4:unorderedHistory;IBIP20:r1:MULTI:4:reversedHistory;IBIP20:r1:MULTI:4:transitionSignature;IBIP20:r1:MULTI:5:snapshotDay3;IBIP20:r1:MULTI:5:day12State;IBIP20:r1:MULTI:5:orderedHistory;IBIP20:r1:MULTI:5:unorderedHistory;IBIP20:r1:MULTI:5:reversedHistory;IBIP20:r1:MULTI:5:transitionSignature,0,0,1,0,45,5576,0.00807030129125,IBIP20:r1:MULTI:1:day12State,272,287,0.947735191638
F041:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_MULTI_3_12_21:majorityDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_MULTI_3_12_21,majorityDay21Fate,17,30,28,False,True,True,135,136,0.992647058824,IBIP20:r1:MULTI:1:transitionSignature,1,1,136,0.00735294117647,45,5576,0.00807030129125,IBIP20:r1:MULTI:1:day12State,0,1,0
F042:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_MULTI_3_12_21:fateBreadth,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_MULTI_3_12_21,fateBreadth,17,30,28,False,False,True,1,1,1,IBIP20:r1:MULTI:1:snapshotDay3;IBIP20:r1:MULTI:1:orderedHistory;IBIP20:r1:MULTI:1:unorderedHistory;IBIP20:r1:MULTI:1:reversedHistory;IBIP20:r1:MULTI:2:snapshotDay3;IBIP20:r1:MULTI:2:orderedHistory;IBIP20:r1:MULTI:2:unorderedHistory;IBIP20:r1:MULTI:2:reversedHistory;IBIP20:r1:MULTI:2:transitionSignature;IBIP20:r1:MULTI:4:snapshotDay3;IBIP20:r1:MULTI:4:orderedHistory;IBIP20:r1:MULTI:4:unorderedHistory;IBIP20:r1:MULTI:4:reversedHistory;IBIP20:r1:MULTI:4:transitionSignature;IBIP20:r1:MULTI:5:snapshotDay3;IBIP20:r1:MULTI:5:day12State;IBIP20:r1:MULTI:5:orderedHistory;IBIP20:r1:MULTI:5:unorderedHistory;IBIP20:r1:MULTI:5:reversedHistory;IBIP20:r1:MULTI:5:transitionSignature,0,0,1,0,0,1,0,IBIP20:r1:MULTI:0:snapshotDay3;IBIP20:r1:MULTI:0:orderedHistory;IBIP20:r1:MULTI:0:unorderedHistory;IBIP20:r1:MULTI:0:transitionSignature,1,1,1
F043:CellTag_iEP_reprogramming:CellTag_iEP:r2:r2_RNA_3_12_21:fineDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r2,r2_RNA_3_12_21,fineDay21Fate,159,30,26,False,False,True,1,1,1,IBIP20:r2:RNA:5:orderedHistory;IBIP20:r2:RNA:5:unorderedHistory;IBIP20:r2:RNA:5:reversedHistory,0,0,1,0,35303,22195287,0.00159056289743,IBIP20:r2:RNA:5:day12State,272155,307458,0.885177812905
