modality,packageDepth,representation,endpoint,sharedStateValueCount,fatePreservingSharedStateValueCount,allSharedStateValuesFatePreserving
MULTI,2,reversedHistory,fineDay21Fate,0,0,False
MULTI,2,reversedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,2,reversedHistory,majorityDay21Fate,0,0,False
MULTI,2,reversedHistory,fateBreadth,0,0,False
MULTI,2,transitionSignature,fineDay21Fate,0,0,False
MULTI,2,transitionSignature,sourceGroupedDay21Fate,0,0,False
MULTI,2,transitionSignature,majorityDay21Fate,0,0,False
MULTI,2,transitionSignature,fateBreadth,0,0,False
MULTI,4,snapshotDay3,fineDay21Fate,0,0,False
MULTI,4,snapshotDay3,sourceGroupedDay21Fate,0,0,False
MULTI,4,snapshotDay3,majorityDay21Fate,0,0,False
MULTI,4,snapshotDay3,fateBreadth,0,0,False
MULTI,4,day12State,fineDay21Fate,0,0,False
MULTI,4,day12State,sourceGroupedDay21Fate,0,0,False
MULTI,4,day12State,majorityDay21Fate,0,0,False
MULTI,4,day12State,fateBreadth,0,0,False
MULTI,4,orderedHistory,fineDay21Fate,0,0,False
MULTI,4,orderedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,4,orderedHistory,majorityDay21Fate,0,0,False
MULTI,4,orderedHistory,fateBreadth,0,0,False
MULTI,4,unorderedHistory,fineDay21Fate,0,0,False
MULTI,4,unorderedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,4,unorderedHistory,majorityDay21Fate,0,0,False
MULTI,4,unorderedHistory,fateBreadth,0,0,False
MULTI,4,reversedHistory,fineDay21Fate,0,0,False
MULTI,4,reversedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,4,reversedHistory,majorityDay21Fate,0,0,False
MULTI,4,reversedHistory,fateBreadth,0,0,False
MULTI,4,transitionSignature,fineDay21Fate,0,0,False
MULTI,4,transitionSignature,sourceGroupedDay21Fate,0,0,False
MULTI,4,transitionSignature,majorityDay21Fate,0,0,False
MULTI,4,transitionSignature,fateBreadth,0,0,False
MULTI,5,snapshotDay3,fineDay21Fate,0,0,False
MULTI,5,snapshotDay3,sourceGroupedDay21Fate,0,0,False
MULTI,5,snapshotDay3,majorityDay21Fate,0,0,False
MULTI,5,snapshotDay3,fateBreadth,0,0,False
MULTI,5,day12State,fineDay21Fate,0,0,False
MULTI,5,day12State,sourceGroupedDay21Fate,0,0,False
MULTI,5,day12State,majorityDay21Fate,0,0,False
MULTI,5,day12State,fateBreadth,0,0,False
MULTI,5,orderedHistory,fineDay21Fate,0,0,False
MULTI,5,orderedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,5,orderedHistory,majorityDay21Fate,0,0,False
MULTI,5,orderedHistory,fateBreadth,0,0,False
MULTI,5,unorderedHistory,fineDay21Fate,0,0,False
MULTI,5,unorderedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,5,unorderedHistory,majorityDay21Fate,0,0,False
MULTI,5,unorderedHistory,fateBreadth,0,0,False
MULTI,5,reversedHistory,fineDay21Fate,0,0,False
