replicate,modality,packageDepth,representation,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,clonesInMixedFibers,maximumFutureImageCardinality,majorityResidual,discordantClonePairCount,futurePairVisibility,recovers,stateInjective,nontrivialCompression
r2,MULTI,1,snapshotDay3,sourceGroupedDay21Fate,24,21,18,19,2,4,2,2,2,2,False,False,True
r2,MULTI,1,snapshotDay3,majorityDay21Fate,24,21,18,19,2,4,2,2,2,2,False,False,True
r2,MULTI,1,snapshotDay3,fateBreadth,24,21,18,19,2,4,2,2,2,2,False,False,True
r2,RNA,2,snapshotDay3,fineDay21Fate,159,68,37,37,31,122,6,69,240,113,False,False,True
r2,RNA,2,snapshotDay3,sourceGroupedDay21Fate,159,68,37,43,25,108,4,43,167,57,False,False,True
r2,RNA,2,snapshotDay3,majorityDay21Fate,159,68,37,41,27,113,3,53,187,41,False,False,True
r2,RNA,2,snapshotDay3,fateBreadth,159,68,37,44,24,106,3,39,141,40,False,False,True
r2,ATAC,2,snapshotDay3,fineDay21Fate,35,29,28,28,1,7,4,3,15,6,False,False,True
r2,ATAC,2,snapshotDay3,sourceGroupedDay21Fate,35,29,28,28,1,7,3,2,11,3,False,False,True
r2,ATAC,2,snapshotDay3,majorityDay21Fate,35,29,28,28,1,7,3,3,14,3,False,False,True
r2,ATAC,2,snapshotDay3,fateBreadth,35,29,28,28,1,7,2,2,10,1,False,False,True
r2,MULTI,2,snapshotDay3,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,snapshotDay3,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,snapshotDay3,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,snapshotDay3,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,RNA,4,snapshotDay3,fineDay21Fate,159,125,103,104,21,54,4,28,45,36,False,False,True
r2,RNA,4,snapshotDay3,sourceGroupedDay21Fate,159,125,103,107,18,46,4,20,31,23,False,False,True
r2,RNA,4,snapshotDay3,majorityDay21Fate,159,125,103,107,18,48,3,21,36,22,False,False,True
r2,RNA,4,snapshotDay3,fateBreadth,159,125,103,111,14,39,3,16,28,18,False,False,True
r2,ATAC,4,snapshotDay3,fineDay21Fate,35,30,29,29,1,6,4,3,12,6,False,False,True
r2,ATAC,4,snapshotDay3,sourceGroupedDay21Fate,35,30,29,29,1,6,3,2,9,3,False,False,True
r2,ATAC,4,snapshotDay3,majorityDay21Fate,35,30,29,29,1,6,3,3,11,3,False,False,True
r2,ATAC,4,snapshotDay3,fateBreadth,35,30,29,29,1,6,2,2,8,1,False,False,True
r2,MULTI,4,snapshotDay3,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,snapshotDay3,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,snapshotDay3,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,snapshotDay3,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,RNA,5,snapshotDay3,fineDay21Fate,159,146,137,138,8,20,3,10,16,12,False,False,True
r2,RNA,5,snapshotDay3,sourceGroupedDay21Fate,159,146,137,139,7,18,2,7,11,7,False,False,True
r2,RNA,5,snapshotDay3,majorityDay21Fate,159,146,137,140,6,16,3,7,13,8,False,False,True
r2,RNA,5,snapshotDay3,fateBreadth,159,146,137,140,6,16,2,6,10,6,False,False,True
r2,ATAC,5,snapshotDay3,fineDay21Fate,35,30,29,29,1,6,4,3,12,6,False,False,True
r2,ATAC,5,snapshotDay3,sourceGroupedDay21Fate,35,30,29,29,1,6,3,2,9,3,False,False,True
r2,ATAC,5,snapshotDay3,majorityDay21Fate,35,30,29,29,1,6,3,3,11,3,False,False,True
r2,ATAC,5,snapshotDay3,fateBreadth,35,30,29,29,1,6,2,2,8,1,False,False,True
r2,MULTI,5,snapshotDay3,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,snapshotDay3,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,snapshotDay3,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,snapshotDay3,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
