carrier,candidate,family,package,description,decisionEligible,retrospectiveOutcomeOptimized,terminalLeakage,lineageIdentityLeakage,immediateCoarsening,carrierCount,quotientCardinality,compressionRatio,normalizedCompression,singletonFiberCount,nonSingletonFiberCount,lineagesInSingletonFibers,lineagesInNonSingletonFibers,sharedCompressionCoverage,maximumFiberSize,meanNonSingletonFiberSize,medianNonSingletonFiberSize,fateObjectsRepresentedByMultipleLineages,mixedFiberCount,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,exactRecovery,nontrivialCompression,sharedCompression,fiberSpectrum
H037,P2_eightProjectionState.prefix.evenThenOdd.2,coordinate_deletion,P2_eightProjectionState,"retain (0, 2)",True,False,False,False,P2_eightProjectionState.prefix.evenThenOdd.1,748,412,1.8155339805825244,0.44919786096256686,219,193,219,529,0.7072192513368984,8,2.7409326424870466,2,1,166,471,7,262,512,False,True,True,1:219;2:120;3:36;4:21;5:6;6:4;7:5;8:1
H037,P5_twelveProjectionDistribution.heterogeneity.total,heterogeneity_summary,P5_twelveProjectionDistribution,total occupancy per time,True,False,False,False,,748,525,1.4247619047619047,0.2981283422459893,434,91,434,314,0.4197860962566845,57,3.4505494505494507,2,1,83,298,13,135,1333,False,True,True,1:434;2:66;3:9;4:5;5:2;6:1;7:2;8:1;9:2;10:1;12:1;57:1
H037,P5_twelveProjectionDistribution.heterogeneity.spectrum,heterogeneity_summary,P5_twelveProjectionDistribution,occupancy spectrum per time,True,False,False,False,,748,594,1.2592592592592593,0.20588235294117652,542,52,542,206,0.27540106951871657,57,3.9615384615384617,2.0,1,42,183,13,81,1201,False,True,True,1:542;2:37;3:3;4:5;5:2;7:1;8:1;9:1;12:1;57:1
H037,P5_twelveProjectionDistribution.heterogeneity.turnover,heterogeneity_summary,P5_twelveProjectionDistribution,signed occupancy turnover,True,False,False,False,,748,647,1.1561051004636784,0.13502673796791442,632,15,632,116,0.15508021390374332,58,7.733333333333333,3,2,13,112,14,53,1300,False,True,True,1:632;2:7;3:4;4:1;8:1;20:1;58:1
H037,P5_twelveProjectionDistribution.heterogeneity.coordinateHistory,heterogeneity_summary,P5_twelveProjectionDistribution,coordinatewise occupancy history,True,False,False,False,,748,686,1.0903790087463556,0.08288770053475936,679,7,679,69,0.09224598930481283,57,9.857142857142858,2,1,5,65,13,30,1075,False,True,True,1:679;2:6;57:1
H037,P2_eightProjectionState.prefix.evenThenOdd.3,coordinate_deletion,P2_eightProjectionState,"retain (0, 2, 4)",True,False,False,False,P2_eightProjectionState.prefix.evenThenOdd.2,748,718,1.041782729805014,0.0401069518716578,690,28,690,58,0.07754010695187166,3,2.0714285714285716,2.0,1,23,47,3,24,25,False,True,True,1:690;2:26;3:2
H037,P5_twelveProjectionDistribution.prefix.source.2,coordinate_deletion,P5_twelveProjectionDistribution,"retain (0, 1)",True,False,False,False,P5_twelveProjectionDistribution.prefix.source.1,748,727,1.0288858321870702,0.02807486631016043,707,20,707,41,0.05481283422459893,3,2.05,2.0,1,16,32,2,16,16,False,True,True,1:707;2:19;3:1
H037,P4_twelveProjectionState.route.motifHistogram,route_motif,P4_twelveProjectionState,route motif histogram,True,False,False,False,,748,736,1.016304347826087,0.016042780748663055,724,12,724,24,0.03208556149732621,2,2,2.0,2,10,20,2,10,10,False,True,True,1:724;2:12
H037,P2_eightProjectionState.prefix.reverse.4,coordinate_deletion,P2_eightProjectionState,"retain (7, 6, 5, 4)",True,False,False,False,P2_eightProjectionState.prefix.reverse.3,748,739,1.0121786197564275,0.012032085561497374,730,9,730,18,0.02406417112299465,2,2,2,2,7,14,2,7,7,False,True,True,1:730;2:9
H037,P2_eightProjectionState.prefix.evenThenOdd.4,coordinate_deletion,P2_eightProjectionState,"retain (0, 2, 4, 6)",True,False,False,False,P2_eightProjectionState.prefix.evenThenOdd.3,748,743,1.0067294751009421,0.006684491978609652,738,5,738,10,0.013368983957219251,2,2,2,0,5,10,2,5,5,False,True,True,1:738;2:5
H037,P4_twelveProjectionState.prefix.reverse.4,coordinate_deletion,P4_twelveProjectionState,"retain (11, 10, 9, 8)",True,False,False,False,P4_twelveProjectionState.prefix.reverse.3,748,744,1.0053763440860215,0.005347593582887722,740,4,740,8,0.0106951871657754,2,2,2.0,1,3,6,2,3,3,False,True,True,1:740;2:4
H037,P2_eightProjectionState.prefix.reverse.5,coordinate_deletion,P2_eightProjectionState,"retain (7, 6, 5, 4, 3)",True,False,False,False,P2_eightProjectionState.prefix.reverse.4,748,745,1.0040268456375838,0.004010695187165791,742,3,742,6,0.008021390374331552,2,2,2,1,2,4,2,2,2,False,True,True,1:742;2:3
H037,P2_eightProjectionState.prefix.evenThenOdd.5,coordinate_deletion,P2_eightProjectionState,"retain (0, 2, 4, 6, 1)",True,False,False,False,P2_eightProjectionState.prefix.evenThenOdd.4,748,747,1.001338688085676,0.0013368983957219305,746,1,746,2,0.00267379679144385,2,2,2,0,1,2,2,1,1,False,True,True,1:746;2:1
H037,P2_eightProjectionState.delete.1,coordinate_deletion,P2_eightProjectionState,delete projection 1,True,False,False,False,,748,748,1.0,0.0,748,0,748,0,0.0,1,0.0,0.0,0,0,0,1,0,0,True,False,False,1:748
