lineage_id,replicate1_counts,replicate2_counts,replicate1_fate,replicate2_fate,pooled_counts,pooled_fate,replicate1_total,replicate2_total,concordant,discordant,replicate1_support,replicate2_support
44d48d46799921a8fba6,0:0:1,0:0:2,0:0:1,0:0:1,0:0:3,0:0:1,1,2,True,False,001,001
44ed6dcd6dfad1e64a87,0:0:1,1:0:0,0:0:1,1:0:0,1:0:1,1:0:1,1,1,False,True,001,100
44ef4f9c5d80b9034030,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
4502c15f129bff7de7e2,1:2:0,0:1:0,1:2:0,0:1:0,1:3:0,1:3:0,3,1,False,True,110,010
45051b23edeba49116df,0:0:14,0:4:13,0:0:1,0:4:13,0:4:27,0:4:27,14,17,False,True,001,011
45067ea199f3d4c6d217,0:1:0,0:1:3,0:1:0,0:1:3,0:2:3,0:2:3,1,4,False,True,010,011
45088534a12b90a8622c,1:0:0,5:1:0,1:0:0,5:1:0,6:1:0,6:1:0,1,6,False,True,100,110
452de0874571e75ada2e,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
45501c3b4f7609f2c79d,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
45c6f25bd3312e2384df,0:1:0,1:0:0,0:1:0,1:0:0,1:1:0,1:1:0,1,1,False,True,010,100
464b57d1a8ecded05b1c,0:1:0,2:2:0,0:1:0,1:1:0,2:3:0,2:3:0,1,4,False,True,010,110
466cb5e0164b85b47f31,0:18:0,2:19:0,0:1:0,2:19:0,2:37:0,2:37:0,18,21,False,True,010,110
472f814544afa8ba1f44,0:0:3,0:0:4,0:0:1,0:0:1,0:0:7,0:0:1,3,4,True,False,001,001
4739fa44798f16f7faf9,0:0:1,0:0:2,0:0:1,0:0:1,0:0:3,0:0:1,1,2,True,False,001,001
473ca3b6685b9502cb46,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
474afb76f52853a07bd0,0:3:0,0:6:0,0:1:0,0:1:0,0:9:0,0:1:0,3,6,True,False,010,010
477c750a575089a5cae0,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
478fd3a9ddbc5367e0bd,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
47a0f7a9817f2bf0069b,0:0:1,1:0:1,0:0:1,1:0:1,1:0:2,1:0:2,1,2,False,True,001,101
47b64c2d6acadb491ba6,0:0:3,0:0:1,0:0:1,0:0:1,0:0:4,0:0:1,3,1,True,False,001,001
4827106902a58fabca2a,0:0:1,0:0:3,0:0:1,0:0:1,0:0:4,0:0:1,1,3,True,False,001,001
4835edd83fa2c6f84a85,0:3:4,1:0:4,0:3:4,1:0:4,1:3:8,1:3:8,7,5,False,True,011,101
487de45d782560ef9ed5,0:0:6,0:0:5,0:0:1,0:0:1,0:0:11,0:0:1,6,5,True,False,001,001
487ef958ed0a51d84496,1:0:0,0:2:0,1:0:0,0:1:0,1:2:0,1:2:0,1,2,False,True,100,010
48d425717c25f2c8af14,0:0:1,1:0:0,0:0:1,1:0:0,1:0:1,1:0:1,1,1,False,True,001,100
48e827d896d05f3af5bd,0:0:5,0:0:8,0:0:1,0:0:1,0:0:13,0:0:1,5,8,True,False,001,001
491ba29b1492b21a5f91,0:2:0,0:0:2,0:1:0,0:0:1,0:2:2,0:1:1,2,2,False,True,010,001
493af3da9a238df7b671,0:0:4,0:0:1,0:0:1,0:0:1,0:0:5,0:0:1,4,1,True,False,001,001
494d134c56cd11f071ad,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
497d462eb4a902f5c797,0:0:1,0:1:4,0:0:1,0:1:4,0:1:5,0:1:5,1,5,False,True,001,011
498f6de41a7f967be257,0:1:6,0:0:7,0:1:6,0:0:1,0:1:13,0:1:13,7,7,False,True,011,001
4a02811e8e13a1f6b054,0:0:1,0:1:0,0:0:1,0:1:0,0:1:1,0:1:1,1,1,False,True,001,010
4a6c10afe5f65aab2025,0:1:0,0:1:0,0:1:0,0:1:0,0:2:0,0:1:0,1,1,True,False,010,010
4aa748085e8b0889fc51,0:0:2,0:0:2,0:0:1,0:0:1,0:0:4,0:0:1,2,2,True,False,001,001
4ab4cb9788a4d56cffc9,0:1:3,0:0:3,0:1:3,0:0:1,0:1:6,0:1:6,4,3,False,True,011,001
4ac295f24301c0eb0df6,1:0:0,0:1:0,1:0:0,0:1:0,1:1:0,1:1:0,1,1,False,True,100,010
4b31b21d50dec9099e4d,0:0:1,0:1:1,0:0:1,0:1:1,0:1:2,0:1:2,1,2,False,True,001,011
4ba10c567cb98637591b,1:0:1,1:0:0,1:0:1,1:0:0,2:0:1,2:0:1,2,1,False,True,101,100
4be314aad9deb6477cdb,0:1:0,0:1:0,0:1:0,0:1:0,0:2:0,0:1:0,1,1,True,False,010,010
4c07c6e3e6be14d9b21d,0:0:2,1:0:1,0:0:1,1:0:1,1:0:3,1:0:3,2,2,False,True,001,101
4c0a18e5f8ac4365beb5,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
4c286b321f2a5662c986,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
4c413035dc7d8c839054,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
4c7737303e95de9a360b,0:0:12,0:0:23,0:0:1,0:0:1,0:0:35,0:0:1,12,23,True,False,001,001
4c96ce73f322f565e52b,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
4c9a74068552f073d993,0:2:3,0:2:0,0:2:3,0:1:0,0:4:3,0:4:3,5,2,False,True,011,010
4ca722f5d2bdee4d4686,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
4ce459770631357f9a30,1:0:3,0:1:7,1:0:3,0:1:7,1:1:10,1:1:10,4,8,False,True,101,011
4d1487e0c34a6c96c2ae,1:11:0,0:9:0,1:11:0,0:1:0,1:20:0,1:20:0,12,9,False,True,110,010
4d2442a10f6f45a0f801,0:0:2,0:3:1,0:0:1,0:3:1,0:3:3,0:1:1,2,4,False,True,001,011
4d8a5a974cdb29a251bd,0:3:0,0:4:0,0:1:0,0:1:0,0:7:0,0:1:0,3,4,True,False,010,010
4d9f6a2932314dc12e8a,0:2:0,0:2:0,0:1:0,0:1:0,0:4:0,0:1:0,2,2,True,False,010,010
4dd9846c580467812c35,1:2:0,0:2:0,1:2:0,0:1:0,1:4:0,1:4:0,3,2,False,True,110,010
